Тип підприємства;Підприємство;Область;Кіл-ть робочих місць;Сума інвестицій, млн.грн
Діючи заводи;Завод з виробництва рідких добрив;Одеська;NA;NA
Діючи заводи;Завод з виробництва м'яких меблів;Львівська;540;NA
Діючи заводи;Завод з переробки томатів;Миколаївська;110;NA
Діючи заводи;Комплекс з переробки радіоактивних відходів;Рівненська;NA;342
Діючи заводи;Цех по виробництву паливних брикетів;Кіровоградська;3;NA
Діючи заводи;Цех екстракції масляних культур;Кіровоградська;20;2
Діючи заводи;Міні-цех по переробці молока;Кіровоградська;NA;2
Діючи заводи;Цех з екстракції рослинної олії;Кіровоградська;10;20
Діючи заводи;Цех рафінації й дезoдoрaції oлії тa цех рoзливу oлії;Кіровоградська;100;NA
Діючи заводи;Швейний цех;Кіровоградська;40;NA
Діючи заводи;Цех з пошиття взуття;Дніпропетровська;NA;NA
Діючи заводи;Взуттєва фабрика Zirka Manufaktura;Черкаська;240;NA
Діючи заводи;Підприємство з виробництва виробів з м’яса;Кіровоградська;NA;NA
Діючи заводи;Сироварний цех;Сумська;NA;NA
Діючи заводи;Сироварний цех; Чернівецька;NA;1.28
Діючи заводи;Меблевий парк;Івано-Франківська;NA;NA
Діючи заводи;Виробництво дерев'яного меблевого щита;Сумська;20;NA
Діючи заводи;Завод високопротеїнових добавок;Київська;NA;NA
Діючи заводи;Олійноекстракційний завод;Харківська;NA;NA
Діючи заводи;Завод гарячого цинкування металоконструкцій;Київська;200;NA
Діючи заводи;"Завод ""Перша Закарпатська Палинчарня""";Закарпатська;17;NA
Діючи заводи;"Завод з виробництва холодильної техніки ""Green cool""";Вінницька;1200;640
Діючи заводи;Бетонний завод;Рівненська;NA;NA
Діючи заводи;Підприємство з вирощення креветок;Вінницька;35;NA
Діючи заводи;Завод складського і підйомно-транспортного устаткування;Дніпропетровська;NA;NA
Діючи заводи;"Завод побутової хімії ""Гранд Імпорт""";Хмельницька;NA;NA
Заводи, які будуються;Завод з сушіння овочів;Миколаївська;40;NA
Заводи, які будуються;Завод по литтю пластмаси;Закарпатська;NA;NA
Заводи, які будуються;Завод з виробництвa aвтомобільних джгутів;Вінницька;2500;320
Заводи, які будуються;Українсько-литовське виробництво сонячних панелей;Херсонська;NA;NA
Заводи, які будуються;Меблевий завод;Львівська;500;192
Заводи, які будуються;Завод з переробки гіпсової сировини;Івано-Франківська;35;NA
Заводи, які будуються;Елеваторний комплекс;Сумська;60;NA
Заводи, які будуються;Завод з виробництва біогазу;Тернопільська;NA;64
Заводи, які будуються;Завод з виробництва біогазу;Черкаська;50;NA
Заводи, які будуються;Зерновий термінал;Миколаївська;NA;NA
Заводи, які будуються;Завод з переробки льону;Рівненська;1e3;560
Заводи, які будуються;Лісопильний завод;Рівненська;365;NA
Заводи, які будуються;Завод по переробці м'яса;Львівська;NA;NA
Заводи, які будуються;Cміттєпереробний завод;Харківська;NA;800
Заводи, які будуються;Завод із переробки картоплі;Чернігівська;50;NA
Заводи, які будуються;Завод крохмало- та картоплепродуктів;Чернігівська;160;56
Заводи, які будуються;Біогазовий завод;Івано-Франківська;NA;NA
Заводи, які будуються;Біогазовий завод;Львівська;NA;NA
Заводи, які будуються;Біогазовий комплекс;Вінницька;NA;NA
Заводи, які будуються;Біогазова електрична станція;Дніпропетровська;100;310
Заводи, які будуються;Біогазова електрична станція;Чернігівська;NA;NA
Заводи, які будуються;Біогазова електрична станція;Чернігівська;NA;NA
Заводи, які будуються;Сміттєпереробний завод;Вінницька;NA;NA
Заводи, які будуються;Сміттєпереробний завод;Кіровоградська;160;NA
Заводи, які будуються;Асфальтобетонний завод;Львівська;NA;NA
Заводи, які будуються;Асфальтобетонний завод;Сумська;NA;NA
Заводи, які будуються;Асфальтний завод;Закарпатська;NA;NA
Заводи, які будуються;Олійно-екстракційний завод по переробці сої;Хмельницька;205;NA
Заводи, які будуються;Завод із переробки олійних культур;Хмельницька;NA;NA
Заводи, які будуються;Елеватор;Харківська;35;30
Заводи, які будуються;Елеватор;Житомирська;NA;NA
Заводи, які будуються;Завод з переробки деревини;Рівненська;365;640
